"Size","Order","Completeness","SizeLcc","OrderLcc","RelativeSizeLcc","RelativeOrderLcc","Entity"
16307,2389,0.0119718232307845,14813,462,0.0108749995411547,0.193386354123064,"g1"
14677,2389,0.0107751548143879,13293,457,0.00975908788905489,0.191293428212641,"g1"
13209,2389,0.00969741908722832,11861,447,0.00870778164839239,0.187107576391796,"g1"
11888,2389,0.00872760376326522,10664,434,0.00782900122236375,0.181665969024697,"g1"
10699,2389,0.00785469655645816,9574,427,0.00702877510342372,0.178735872750105,"g1"
9629,2389,0.00706915348557207,8662,445,0.0063592281121638,0.186270406027627,"g1"
8666,2389,0.00636216472177459,7776,423,0.00570876908337402,0.177061532021766,"g1"
7800,2389,0.00572638874103875,6953,418,0.00510456165595416,0.174968606111344,"g1"
7020,2389,0.00515374986693488,6327,420,0.00464498225186566,0.175805776475513,"g1"
6318,2389,0.00463837488024139,5657,417,0.00415310014205849,0.174550020929259,"g1"
5686,2389,0.00417439056173671,5100,420,0.00374417725375611,0.175805776475513,"g1"
5117,2389,0.00375665784460196,4579,417,0.00336168385195083,0.174550020929259,"g1"
4605,2389,0.00338077181442096,4173,416,0.00306361797645573,0.174131435747175,"g1"
4145,2389,0.00304306170918021,3709,414,0.0027229712616042,0.173294265383005,"g1"
3730,2389,0.00273838846206084,3322,414,0.00243885428176035,0.173294265383005,"g1"
3357,2389,0.00246454961585476,2992,413,0.00219658398887025,0.172875680200921,"g1"
3021,2389,0.00221787440854847,2668,414,0.00195871861039633,0.173294265383005,"g1"
2719,2389,0.00199616038293389,2469,412,0.00181262228225957,0.172457095018836,"g1"
2447,2389,0.00179647092940023,2183,411,0.00160265469508815,0.172038509836752,"g1"
2202,2389,0.0016166035907394,1966,413,0.00144334362370284,0.172875680200921,"g1"
1982,2389,0.001455090062146,1760,409,0.00129210822874721,0.171201339472583,"g1"
1784,2389,0.00130972788641194,1598,408,0.00117317553951025,0.170782754290498,"g1"
1605,2389,0.00117831460632913,1429,412,0.00104910378345441,0.172457095018836,"g1"
1445,2389,0.00106085022189756,1294,407,0.000949993209090275,0.170364169108414,"g1"
1300,2389,0.000954398123506459,1182,408,0.00086776813998818,0.170782754290498,"g1"
1170,2389,0.000858958311155813,1064,406,0.000781138156469902,0.169945583926329,"g1"
1053,2389,0.000773062480040232,938,401,0.000688634953730045,0.167852658015906,"g1"
948,2389,0.000695976477757018,862,399,0.000632839371125052,0.167015487651737,"g1"
853,2389,0.000626231999500776,765,400,0.000561626588063416,0.167434072833822,"g1"
768,2389,0.000563829045271508,699,388,0.000513172529485396,0.162411050648807,"g1"
691,2389,0.000507299310263818,622,386,0.000456642794477706,0.161573880284638,"g1"
622,2389,0.000456642794477706,554,367,0.000406720431094291,0.153620761825031,"g1"
559,2389,0.000410391193107777,484,350,0.000355329762905482,0.146504813729594,"g1"
503,2389,0.00036927865855673,431,336,0.000316419685562526,0.14064462118041,"g1"
453,2389,0.000332571038421866,383,327,0.000281180370233057,0.136877354541649,"g1"
408,2389,0.000299534180300489,333,283,0.000244472750098193,0.118459606529929,"g1"
367,2389,0.0002694339317899,292,259,0.000214372501587605,0.1084135621599,"g1"
330,2389,0.000242270292890101,234,224,0.000171791662231163,0.0937630807869401,"g1"
297,2389,0.000218043263601091,195,189,0.000143159718525969,0.0791125994139807,"g1"
267,2389,0.000196018691520173,148,144,0.000108654555599197,0.0602762662201758,"g1"
241,2389,0.000176930729050044,59,58,4.33149917591393e-05,0.0242779405609041,"g1"
216,2389,0.000158576918982612,53,54,3.89100773429556e-05,0.0226035998325659,"g1"
195,2389,0.000143159718525969,16,17,1.17464384431564e-05,0.00711594809543742,"g1"
175,2389,0.000128476670472023,29,30,2.1290419678221e-05,0.0125575554625366,"g1"
158,2389,0.00011599607962617,10,11,7.34152402697276e-06,0.0046044370029301,"g1"
142,2389,0.000104249641183013,11,11,8.07567642967003e-06,0.0046044370029301,"g1"
128,2389,9.39715075452513e-05,9,10,6.60737162427548e-06,0.00418585182084554,"g1"
115,2389,8.44275263101867e-05,10,11,7.34152402697276e-06,0.0046044370029301,"g1"
103,2389,7.56176974778194e-05,11,12,8.07567642967003e-06,0.00502302218501465,"g1"
93,2389,6.82761734508467e-05,5,6,3.67076201348638e-06,0.00251151109250733,"g1"
84,2389,6.16688018265712e-05,4,5,2.9366096107891e-06,0.00209292591042277,"g1"
75,2389,5.50614302022957e-05,3,4,2.20245720809183e-06,0.00167434072833822,"g1"
68,2389,4.99223633834148e-05,4,5,2.9366096107891e-06,0.00209292591042277,"g1"
61,2389,4.47832965645338e-05,4,5,2.9366096107891e-06,0.00209292591042277,"g1"
55,2389,4.03783821483502e-05,4,5,2.9366096107891e-06,0.00209292591042277,"g1"
49,2389,3.59734677321665e-05,4,5,2.9366096107891e-06,0.00209292591042277,"g1"
44,2389,3.23027057186801e-05,3,4,2.20245720809183e-06,0.00167434072833822,"g1"
40,2389,2.9366096107891e-05,2,3,1.46830480539455e-06,0.00125575554625366,"g1"
36,2389,2.64294864971019e-05,2,3,1.46830480539455e-06,0.00125575554625366,"g1"
32,2389,2.34928768863128e-05,5,6,3.67076201348638e-06,0.00251151109250733,"g1"
29,2389,2.1290419678221e-05,2,3,1.46830480539455e-06,0.00125575554625366,"g1"
26,2389,1.90879624701292e-05,3,4,2.20245720809183e-06,0.00167434072833822,"g1"
23,2389,1.68855052620373e-05,2,3,1.46830480539455e-06,0.00125575554625366,"g1"
21,2389,1.54172004566428e-05,1,2,7.34152402697276e-07,0.000837170364169108,"g1"
19,2389,1.39488956512482e-05,2,3,1.46830480539455e-06,0.00125575554625366,"g1"
17,2389,1.24805908458537e-05,2,3,1.46830480539455e-06,0.00125575554625366,"g1"
15,2389,1.10122860404591e-05,1,2,7.34152402697276e-07,0.000837170364169108,"g1"
14,2389,1.02781336377619e-05,2,3,1.46830480539455e-06,0.00125575554625366,"g1"
12,2389,8.80982883236731e-06,2,3,1.46830480539455e-06,0.00125575554625366,"g1"
11,2389,8.07567642967003e-06,1,2,7.34152402697276e-07,0.000837170364169108,"g1"
1362115,2389,1,1310329,1563,0.961981183673919,0.654248639598158,"g1"
1225903,2389,0.899999632923799,1179265,1558,0.865760233166803,0.652155713687736,"g1"
1103313,2389,0.80999988987714,1061422,1545,0.779245511575748,0.646714106320636,"g1"
992981,2389,0.728999386982744,955102,1534,0.701190428120974,0.642109669317706,"g1"
893683,2389,0.65609952169971,859585,1533,0.631066393072538,0.641691084135622,"g1"
804315,2389,0.59048978977546,773675,1519,0.567995360156815,0.635830891586438,"g1"
723883,2389,0.531440443721712,696279,1509,0.511174900797657,0.631645039765592,"g1"
651495,2389,0.478296619595262,626763,1511,0.460139562371753,0.632482210129761,"g1"
586345,2389,0.430466590559534,563902,1485,0.413990008185799,0.621598995395563,"g1"
527711,2389,0.387420298579782,507715,1484,0.372740187135447,0.621180410213478,"g1"
474940,2389,0.348678342137044,456720,1471,0.3353020853599,0.615738802846379,"g1"
427446,2389,0.31381050792334,404666,1216,0.297086516189896,0.508999581414818,"g1"
384701,2389,0.282429163470045,370045,1431,0.271669425856113,0.598995395562997,"g1"
346231,2389,0.254186320538281,332852,1379,0.244364095542594,0.5772289660946,"g1"
311608,2389,0.228767761899693,299445,1348,0.219838266225686,0.564252825449979,"g1"
280447,2389,0.205890838879243,269769,1372,0.198051559523241,0.574298869820008,"g1"
252402,2389,0.185301534745598,238346,1121,0.174982288573285,0.469233989116785,"g1"
227162,2389,0.166771528101519,218291,1306,0.160258862137191,0.546672247802428,"g1"
204446,2389,0.150094522121847,189892,868,0.139409668052991,0.363331938049393,"g1"
184001,2389,0.135084776248701,170769,835,0.125370471656211,0.349518627040603,"g1"
165601,2389,0.121576372039072,152663,716,0.112077908252974,0.299706990372541,"g1"
149041,2389,0.109418808250405,139224,969,0.102211634113126,0.405609041439933,"g1"
134137,2389,0.0984770008406045,128843,1241,0.0945903980207251,0.519464210966932,"g1"
120723,2389,0.0886290805108232,113914,1014,0.0836302368008575,0.424445374633738,"g1"
108651,2389,0.0797663927054617,98486,523,0.0723037335320439,0.218920050230222,"g1"
