"Size","Order","Completeness","SizeLcc","OrderLcc","RelativeSizeLcc","RelativeOrderLcc","Entity"
1513,2869,0.000773170720489842,1344,482,0.000686808624149602,0.168002788428024,"mm"
1362,2869,0.00069600695393732,1226,479,0.000626508462207896,0.166957127919136,"mm"
1226,2869,0.000626508462207896,1107,478,0.00056569728194465,0.166608574416173,"mm"
1103,2869,0.00056365320865849,978,474,0.000499775918466005,0.165214360404322,"mm"
993,2869,0.000507441193289103,905,474,0.000462471580993593,0.165214360404322,"mm"
893,2869,0.000456339361135115,784,448,0.000400638364087268,0.156151969327292,"mm"
804,2869,0.000410858730518065,718,451,0.000366911154865635,0.15719762983618,"mm"
724,2869,0.000369977264794875,648,441,0.000331139872357844,0.153712094806553,"mm"
651,2869,0.000332672927322463,566,424,0.000289236369991573,0.147786685256187,"mm"
586,2869,0.000299456736422371,518,407,0.000264707490557659,0.141861275705821,"mm"
527,2869,0.000269306655451518,441,361,0.000225359079799088,0.125827814569536,"mm"
475,2869,0.000242733702731444,384,338,0.000196231035471315,0.117811084001394,"mm"
427,2869,0.00021820482329753,338,309,0.00017272419268048,0.107703032415476,"mm"
384,2869,0.000196231035471315,271,259,0.000138485965137308,0.0902753572673405,"mm"
346,2869,0.000176812339252799,155,151,7.92078398386817e-05,0.0526315789473684,"mm"
311,2869,0.000158926697998903,99,98,5.05908138324483e-05,0.0341582432903451,"mm"
280,2869,0.000143085130031167,123,124,6.28552535494055e-05,0.0432206343673754,"mm"
252,2869,0.00012877661702805,49,49,2.50398977554542e-05,0.0170791216451725,"mm"
227,2869,0.000116001158989553,23,24,1.17534213954173e-05,0.00836528407110491,"mm"
204,2869,0.000104247737594136,44,45,2.24848061477548e-05,0.0156849076333217,"mm"
184,2869,9.40273711633383e-05,20,21,1.02203664307976e-05,0.0073196235622168,"mm"
165,2869,8.43180230540806e-05,15,15,7.66527482309823e-06,0.00522830254444057,"mm"
149,2869,7.61417299094424e-05,28,29,1.43085130031167e-05,0.0101080515859184,"mm"
134,2869,6.84764550863442e-05,10,11,5.11018321539882e-06,0.00383408853258975,"mm"
120,2869,6.13221985847859e-05,8,9,4.08814657231906e-06,0.00313698152666434,"mm"
108,2869,5.51899787263073e-05,7,8,3.57712825077918e-06,0.00278842802370164,"mm"
97,2869,4.95687771893686e-05,4,5,2.04407328615953e-06,0.00174276751481352,"mm"
88,2869,4.49696122955096e-05,7,8,3.57712825077918e-06,0.00278842802370164,"mm"
79,2869,4.03704474016507e-05,4,5,2.04407328615953e-06,0.00174276751481352,"mm"
71,2869,3.62823008293316e-05,4,5,2.04407328615953e-06,0.00174276751481352,"mm"
64,2869,3.27051725785525e-05,4,5,2.04407328615953e-06,0.00174276751481352,"mm"
57,2869,2.91280443277733e-05,3,4,1.53305496461965e-06,0.00139421401185082,"mm"
51,2869,2.6061934398534e-05,5,6,2.55509160769941e-06,0.00209132101777623,"mm"
46,2869,2.35068427908346e-05,4,5,2.04407328615953e-06,0.00174276751481352,"mm"
42,2869,2.1462769504675e-05,4,5,2.04407328615953e-06,0.00174276751481352,"mm"
37,2869,1.89076778969756e-05,2,3,1.02203664307976e-06,0.00104566050888811,"mm"
34,2869,1.7374622932356e-05,2,3,1.02203664307976e-06,0.00104566050888811,"mm"
30,2869,1.53305496461965e-05,3,4,1.53305496461965e-06,0.00139421401185082,"mm"
27,2869,1.37974946815768e-05,2,3,1.02203664307976e-06,0.00104566050888811,"mm"
24,2869,1.22644397169572e-05,2,3,1.02203664307976e-06,0.00104566050888811,"mm"
22,2869,1.12424030738774e-05,3,4,1.53305496461965e-06,0.00139421401185082,"mm"
20,2869,1.02203664307976e-05,1,2,5.11018321539882e-07,0.00069710700592541,"mm"
18,2869,9.19832978771788e-06,2,3,1.02203664307976e-06,0.00104566050888811,"mm"
16,2869,8.17629314463812e-06,2,3,1.02203664307976e-06,0.00104566050888811,"mm"
