"Size","Order","Completeness","SizeLcc","OrderLcc","RelativeSizeLcc","RelativeOrderLcc","Entity"
892173,1935,0.53051799551742,838513,1077,0.615596333642901,0.450816241105065,"g1"
645903,1741,0.345570091136324,618821,1088,0.454308923989531,0.455420678107995,"g1"
603460,1567,0.290594613309322,573825,905,0.421275002477764,0.378819589786522,"g1"
536305,1410,0.232381223149131,489838,293,0.359615744632428,0.122645458350774,"g1"
348079,1269,0.135740523387389,312842,256,0.229673705964621,0.107157806613646,"g1"
312241,1142,0.10957869090968,279477,227,0.205178711048627,0.0950188363331938,"g1"
255721,1028,0.0807847868539616,232376,201,0.170599398729182,0.0841356215989954,"g1"
193366,925,0.0549657199612659,175461,171,0.128815114729667,0.0715780661364588,"g1"
205168,832,0.0524569488029664,190753,199,0.140041773271713,0.0832984512348263,"g1"
143140,749,0.0329467746407049,127821,149,0.0938400942651685,0.0623691921305986,"g1"
104073,674,0.021555993547922,95576,179,0.0701673500401949,0.0749267475931352,"g1"
82559,607,0.0154000875454461,72251,114,0.0530432452472809,0.0477187107576392,"g1"
79151,546,0.0132806436445948,71309,109,0.0523516736839401,0.0456257848472164,"g1"
68170,491,0.0102859607041899,62038,106,0.0455453467585336,0.0443700293009627,"g1"
38083,442,0.00517277390989904,32394,70,0.0237821329329756,0.0293009627459188,"g1"
46925,398,0.00573928019909365,44307,91,0.0325280905063082,0.0380912515696944,"g1"
31974,358,0.00351762931550259,28122,62,0.0206458338686528,0.0259522812892424,"g1"
27998,322,0.00277046683489799,25704,69,0.0188706533589308,0.0288823775638342,"g1"
17243,290,0.00153667101930333,14586,54,0.0107083469457425,0.0226035998325659,"g1"
18817,261,0.00150924924393711,17158,55,0.0125965869254799,0.0230221850146505,"g1"
12822,235,0.000925963162509565,11557,42,0.00848459931797242,0.0175805776475513,"g1"
13583,211,0.000880741033952125,12654,47,0.00928996450373133,0.019673503557974,"g1"
5238,190,0.000305836397744823,4515,24,0.0033146980981782,0.0100460443700293,"g1"
6980,171,0.00036679348045685,6524,32,0.00478961027519703,0.0133947258267057,"g1"
3464,154,0.00016393386527136,2307,20,0.00169368959302262,0.00837170364169108,"g1"
2058,138,8.72759392949507e-05,1488,17,0.00109241877521355,0.00711594809543742,"g1"
3437,125,0.000132026046885231,2904,21,0.00213197857743289,0.00879028882377564,"g1"
3414,112,0.000117503719512161,3058,25,0.00224503804744827,0.0104646295521139,"g1"
1441,101,4.47255231649076e-05,1243,15,0.000912551436552714,0.00627877773126831,"g1"
1610,91,4.50233020172365e-05,1249,14,0.000916956350968898,0.00586019254918376,"g1"
1593,82,4.01420643594535e-05,1509,14,0.00110783597567019,0.00586019254918376,"g1"
2068,73,4.63920398998709e-05,1864,16,0.00136846007862772,0.00669736291335287,"g1"
1450,66,2.94091188522936e-05,1384,15,0.00101606692533303,0.00627877773126831,"g1"
165,59,2.9916172625609e-06,115,5,8.44275263101867e-05,0.00209292591042277,"g1"
473,53,7.7038369959054e-06,445,9,0.000326697819200288,0.00376726663876099,"g1"
261,48,3.84992101339116e-06,205,6,0.000150501242552942,0.00251151109250733,"g1"
324,43,4.28137767868499e-06,305,7,0.000223916482822669,0.00293009627459188,"g1"
542,39,6.49581979414609e-06,511,9,0.000375151877778308,0.00376726663876099,"g1"
682,35,7.33537792062954e-06,583,9,0.000428010850772512,0.00376726663876099,"g1"
9,31,8.57381834878778e-08,4,2,2.9366096107891e-06,0.000837170364169108,"g1"
104,28,8.94873083572402e-07,79,3,5.79980398130848e-05,0.00125575554625366,"g1"
112,25,8.60454888050386e-07,79,4,5.79980398130848e-05,0.00167434072833822,"g1"
220,23,1.55496490483391e-06,216,5,0.000158576918982612,0.00209292591042277,"g1"
120,20,7.37532761186045e-07,120,5,8.80982883236731e-05,0.00209292591042277,"g1"
13,18,7.19094442156394e-08,13,2,9.54398123506459e-06,0.000837170364169108,"g1"
77,16,3.7860015074217e-07,77,3,5.65297350076902e-05,0.00125575554625366,"g1"
25,15,1.1523949393532e-07,22,2,1.61513528593401e-05,0.000837170364169108,"g1"
85,13,3.39572375462742e-07,78,3,5.72638874103875e-05,0.00125575554625366,"g1"
0,12,0,0,1,0,0.000418585182084554,"g1"
7,11,2.36625094213856e-08,4,2,2.9366096107891e-06,0.000837170364169108,"g1"
1362115,2389,1,1310329,1563,0.961981183673919,0.654248639598158,"g1"
1162004,2150,0.767743516688685,1120089,1380,0.822316030584789,0.577647551276685,"g1"
869397,1935,0.516974570793847,834279,1230,0.612487932369881,0.514859773964002,"g1"
679251,1741,0.363411889981064,632973,948,0.464698648792503,0.396818752616157,"g1"
623090,1567,0.300047389399307,588067,661,0.431730800996979,0.27668480535789,"g1"
432739,1410,0.187506023856447,401589,641,0.294827529246796,0.268313101716199,"g1"
362611,1269,0.141407573930127,323953,257,0.237830873310991,0.10757639179573,"g1"
335038,1142,0.117579131007771,312321,478,0.229291212562816,0.200083717036417,"g1"
288623,1028,0.0911788532664543,262887,237,0.192999122687879,0.0992046881540393,"g1"
243342,925,0.0691717687019144,220934,196,0.16219922693752,0.0820426956885726,"g1"
161457,832,0.0412810067012426,143513,157,0.105360413768294,0.065717873587275,"g1"
124383,749,0.0286294443910493,110419,148,0.0810643741534305,0.061950606948514,"g1"
79583,674,0.0164835320834826,71706,181,0.0526431321878109,0.0757639179573043,"g1"
83368,607,0.015550993816407,74250,116,0.0545108159002727,0.0485558811218083,"g1"
